row_type,hypothesis_id,symbol,asset_class,state,horizon_bars,segment,partition,reason_signature,momentum_state,sampling_view,count,sample_count,mean_forward_return,median_forward_return,min_forward_return,max_forward_return,positive_count,negative_count,zero_count,episode_count,mean_delta,median_delta,delta_reference,length_min,length_median,length_max,share_largest_episode,share_three_largest,mean_delta_sign,median_delta_sign,timestamp,bars_since_previous_cross,status_h1,return_h1,status_h5,return_h5,status_h20,return_h20
episode_start,trend_alignment,TLT,treasury,bearish,20,,,,,episode_start,29,29,0.0018840799225094962,0.008401243470179232,-0.07418582331381518,0.05349918540815546,16,13,0,29,,,,,,,,,,,,,,,,,,
episode_summary,trend_alignment,TLT,treasury,neutral,,,,,,,112,,,,,,,,,52,,,,1,1.0,12,0.10714285714285714,0.26785714285714285,,,,,,,,,,
episode_start,trend_alignment,TLT,treasury,neutral,1,,,,,episode_start,52,52,0.0012144877718645287,0.0016302621280787077,-0.011610274662053,0.016998986080304146,30,21,1,52,,,,,,,,,,,,,,,,,,
episode_start,trend_alignment,TLT,treasury,neutral,5,,,,,episode_start,52,52,0.0008399767906906441,-0.0006448874938136395,-0.04555145407300387,0.03675208931651497,25,27,0,52,,,,,,,,,,,,,,,,,,
episode_start,trend_alignment,TLT,treasury,neutral,20,,,,,episode_start,52,52,5.6563306830749766e-05,0.003864548844477955,-0.1036228513028874,0.09800224173800487,29,23,0,52,,,,,,,,,,,,,,,,,,
episode_summary,momentum_in_trend_context,TLT,treasury,bullish,,,,,,,599,,,,,,,,,85,,,,1,3.0,44,0.07345575959933222,0.17529215358931552,,,,,,,,,,
episode_start,momentum_in_trend_context,TLT,treasury,bullish,1,,,,,episode_start,85,85,0.0008718928582685271,0.0010596450366366916,-0.06434253377651955,0.053968253968254,48,36,1,85,,,,,,,,,,,,,,,,,,
episode_start,momentum_in_trend_context,TLT,treasury,bullish,5,,,,,episode_start,85,85,0.0008138316585425735,8.228147771749406e-05,-0.030621044668278752,0.06476188538566463,44,40,1,85,,,,,,,,,,,,,,,,,,
episode_start,momentum_in_trend_context,TLT,treasury,bullish,20,,,,,episode_start,85,85,0.0008070171558023274,-0.0014276388173992682,-0.07140679646542403,0.15635836125981606,41,44,0,85,,,,,,,,,,,,,,,,,,
episode_summary,momentum_in_trend_context,TLT,treasury,bearish,,,,,,,696,,,,,,,,,85,,,,1,4.0,60,0.08620689655172414,0.22270114942528735,,,,,,,,,,
