row_type,hypothesis_id,hypothesis_version,hypothesis_fingerprint,symbol,horizon_bars,spec_fingerprint,state,reason_signature,sample_count,mean_forward_return,median_forward_return,min_forward_return,max_forward_return,positive_count,negative_count,zero_count,episode_count,mean_delta_vs_matched_unconditional,median_delta_vs_matched_unconditional,first_evaluated_timestamp,last_evaluated_timestamp,total_observations,bullish_count,bearish_count,neutral_count,insufficient_data_count,evaluated,insufficient_future_data,no_reference_bar,ineligible,bars_fetched,warmup_bars,observation_bars,outcome_buffer_bars
state,trend_crossover,1,f1126ca778e6f7ce,SPY,5,b586481caf972d58,neutral,,2466,0.0021722213279783253,0.0037417733402470565,-0.15735668296758132,0.11762305171795329,1477,986,3,50,7.510028926230794e-05,-5.432567024343804e-06,2015-01-02T05:00:00+00:00,2024-12-31T05:00:00+00:00,,,,,,,,,,,,,
neutral_reason,trend_crossover,1,f1126ca778e6f7ce,SPY,5,b586481caf972d58,neutral,relationship_unchanged,2466,0.0021722213279783253,0.0037417733402470565,-0.15735668296758132,0.11762305171795329,1477,986,3,50,7.510028926230794e-05,-5.432567024343804e-06,2015-01-02T05:00:00+00:00,2024-12-31T05:00:00+00:00,,,,,,,,,,,,,
matched_unconditional,trend_crossover,1,f1126ca778e6f7ce,SPY,20,a040ca488aa3f51f,all,,2516,0.009315311305321278,0.015199267558811735,-0.3117552779281434,0.23401548413671724,1689,827,0,1,,,2015-01-02T05:00:00+00:00,2024-12-31T05:00:00+00:00,,,,,,,,,,,,,
state,trend_crossover,1,f1126ca778e6f7ce,SPY,20,a040ca488aa3f51f,bullish,,25,0.006407693000208767,0.011075732685912554,-0.08532137479403046,0.06662931523008031,16,9,0,25,-0.0029076183051125115,-0.004123534872899182,2015-02-17T05:00:00+00:00,2024-09-03T04:00:00+00:00,,,,,,,,,,,,,
state,trend_crossover,1,f1126ca778e6f7ce,SPY,20,a040ca488aa3f51f,bearish,,25,-0.005138937235056251,-0.00411817281909832,-0.1580099173158248,0.07208099495047882,11,14,0,25,-0.01445424854037753,-0.019317440377910056,2015-01-08T05:00:00+00:00,2024-08-09T04:00:00+00:00,,,,,,,,,,,,,
state,trend_crossover,1,f1126ca778e6f7ce,SPY,20,a040ca488aa3f51f,neutral,,2466,0.009491323742927627,0.015311570553947051,-0.3117552779281434,0.23401548413671724,1662,804,0,50,0.00017601243760634842,0.00011230299513531605,2015-01-02T05:00:00+00:00,2024-12-31T05:00:00+00:00,,,,,,,,,,,,,
neutral_reason,trend_crossover,1,f1126ca778e6f7ce,SPY,20,a040ca488aa3f51f,neutral,relationship_unchanged,2466,0.009491323742927627,0.015311570553947051,-0.3117552779281434,0.23401548413671724,1662,804,0,50,0.00017601243760634842,0.00011230299513531605,2015-01-02T05:00:00+00:00,2024-12-31T05:00:00+00:00,,,,,,,,,,,,,
matched_unconditional,trend_alignment,1,650add07184f8440,QQQ,1,83e9dabf9b4e27de,all,,2516,0.000280268897323429,0.0007592567729050037,-0.0607461660131684,0.06790237782320374,1358,1150,8,1,,,2015-01-02T05:00:00+00:00,2024-12-31T05:00:00+00:00,,,,,,,,,,,,,
state,trend_alignment,1,650add07184f8440,QQQ,1,83e9dabf9b4e27de,bullish,,1732,0.00014623517911873724,0.0006310362525266955,-0.04463951180993453,0.04489011542869492,929,797,6,27,-0.00013403371820469177,-0.00012822052037830822,2015-01-02T05:00:00+00:00,2024-12-31T05:00:00+00:00,,,,,,,,,,,,,
state,trend_alignment,1,650add07184f8440,QQQ,1,83e9dabf9b4e27de,bearish,,722,0.0007867648666888448,0.0015432009557462267,-0.0607461660131684,0.06790237782320374,400,320,2,25,0.0005064959693654159,0.000783944182841223,2015-01-09T05:00:00+00:00,2024-09-12T04:00:00+00:00,,,,,,,,,,,,,
